p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,cateogory
0.03853641,0.04635075,0.03664889,0.03144685,0.0456078,0.03103767,0.0264245,0.02441813,0.0322008,0.01570961,0.02064681,0.02778412,0.03078959,0.02906897,0.04109056,long_blink
0.03103767,0.0264245,0.02441813,0.0322008,0.01570961,0.02064681,0.02778412,0.03078959,0.02906897,0.04109056,0.04209657,0.04601935,0.05552249,0.03789909,0.03682666,long_blink
0.02064681,0.02778412,0.03078959,0.02906897,0.04109056,0.04209657,0.04601935,0.05552249,0.03789909,0.03682666,0.07060511,0.05007626,0.0486297,0.05552467,0.07460249,long_blink
0.04209657,0.04601935,0.05552249,0.03789909,0.03682666,0.07060511,0.05007626,0.0486297,0.05552467,0.07460249,0.0440932,0.0416817,0.04278022,0.04635617,0.04376865,long_blink
0.07060511,0.05007626,0.0486297,0.05552467,0.07460249,0.0440932,0.0416817,0.04278022,0.04635617,0.04376865,0.04928385,0.04186066,0.0425688,0.06475094,0.05189237,long_blink
0.0440932,0.0416817,0.04278022,0.04635617,0.04376865,0.04928385,0.04186066,0.0425688,0.06475094,0.05189237,0.06306437,0.03822222,0.06461265,0.05684466,0.05246197,long_blink
0.04928385,0.04186066,0.0425688,0.06475094,0.05189237,0.06306437,0.03822222,0.06461265,0.05684466,0.05246197,0.04626504,0.04294823,0.04349646,0.0518294,0.04422822,long_blink
0.06306437,0.03822222,0.06461265,0.05684466,0.05246197,0.04626504,0.04294823,0.04349646,0.0518294,0.04422822,0.02660813,0.03105995,0.05045545,0.04222871,0.04172292,long_blink
0.04626504,0.04294823,0.04349646,0.0518294,0.04422822,0.02660813,0.03105995,0.05045545,0.04222871,0.04172292,0.06326052,0.05307309,0.04891667,0.05183168,0.04155268,long_blink
0.02660813,0.03105995,0.05045545,0.04222871,0.04172292,0.06326052,0.05307309,0.04891667,0.05183168,0.04155268,0.04580849,0.04537365,0.05163176,0.05588061,0.04525202,long_blink
0.06326052,0.05307309,0.04891667,0.05183168,0.04155268,0.04580849,0.04537365,0.05163176,0.05588061,0.04525202,0.03272652,0.02162765,0.03663244,0.06133515,0.07878692,long_blink
0.04580849,0.04537365,0.05163176,0.05588061,0.04525202,0.03272652,0.02162765,0.03663244,0.06133515,0.07878692,0.08769602,0.08190771,0.06504379,0.06808706,0.09148936,long_blink
0.03272652,0.02162765,0.03663244,0.06133515,0.07878692,0.08769602,0.08190771,0.06504379,0.06808706,0.09148936,0.07160398,0.07738218,0.0956303,0.08531349,0.0850187,long_blink
0.08769602,0.08190771,0.06504379,0.06808706,0.09148936,0.07160398,0.07738218,0.0956303,0.08531349,0.0850187,0.08349107,0.0785871,0.10663163,0.06140345,0.08316979,long_blink
0.07160398,0.07738218,0.0956303,0.08531349,0.0850187,0.08349107,0.0785871,0.10663163,0.06140345,0.08316979,0.07733994,0.06644148,0.08594231,0.0776454,0.05222607,long_blink
0.08349107,0.0785871,0.10663163,0.06140345,0.08316979,0.07733994,0.06644148,0.08594231,0.0776454,0.05222607,0.06375823,0.06528548,0.0603108,0.05962237,0.05967921,long_blink
0.07733994,0.06644148,0.08594231,0.0776454,0.05222607,0.06375823,0.06528548,0.0603108,0.05962237,0.05967921,0.04951276,0.05344753,0.05227078,0.05834737,0.06012231,long_blink
0.06375823,0.06528548,0.0603108,0.05962237,0.05967921,0.04951276,0.05344753,0.05227078,0.05834737,0.06012231,0.04021761,0.04492315,0.0435211,0.05278475,0.0370026,long_blink
0.04951276,0.05344753,0.05227078,0.05834737,0.06012231,0.04021761,0.04492315,0.0435211,0.05278475,0.0370026,0.03174449,0.03909848,0.05139672,0.04734943,0.07682557,long_blink
0.04021761,0.04492315,0.0435211,0.05278475,0.0370026,0.03174449,0.03909848,0.05139672,0.04734943,0.07682557,0.05521884,0.05808216,0.05321119,0.05284933,0.04957027,long_blink
0.03174449,0.03909848,0.05139672,0.04734943,0.07682557,0.05521884,0.05808216,0.05321119,0.05284933,0.04957027,0.05748911,0.05204323,0.03662985,0.04317338,0.03528933,long_blink
0.05521884,0.05808216,0.05321119,0.05284933,0.04957027,0.05748911,0.05204323,0.03662985,0.04317338,0.03528933,0.04080533,0.04114282,0.03641055,0.03969796,0.0380973,long_blink
0.05748911,0.05204323,0.03662985,0.04317338,0.03528933,0.04080533,0.04114282,0.03641055,0.03969796,0.0380973,0.04647845,0.04018709,0.05098945,0.05042891,0.03789222,long_blink
0.04080533,0.04114282,0.03641055,0.03969796,0.0380973,0.04647845,0.04018709,0.05098945,0.05042891,0.03789222,0.05017115,0.05299001,0.04484089,0.05176302,0.04639688,long_blink
0.04647845,0.04018709,0.05098945,0.05042891,0.03789222,0.05017115,0.05299001,0.04484089,0.05176302,0.04639688,0.05372967,0.06198571,0.04924254,0.04468905,0.06141202,long_blink
