p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,category
0.038536412,0.046350752,0.036648887,0.031446854,0.045607798,0.03103767,0.026424498,0.024418132,0.0322008,0.015709606,0.020646809,0.027784117,0.030789587,0.029068968,0.041090556,long_blink
0.03103767,0.026424498,0.024418132,0.0322008,0.015709606,0.020646809,0.027784117,0.030789587,0.029068968,0.041090556,0.042096568,0.046019353,0.05552249,0.037899093,0.036826656,long_blink
0.020646809,0.027784117,0.030789587,0.029068968,0.041090556,0.042096568,0.046019353,0.05552249,0.037899093,0.036826656,0.070605113,0.050076255,0.048629697,0.055524665,0.074602491,long_blink
0.042096568,0.046019353,0.05552249,0.037899093,0.036826656,0.070605113,0.050076255,0.048629697,0.055524665,0.074602491,0.044093196,0.041681696,0.042780218,0.046356175,0.043768653,long_blink
0.070605113,0.050076255,0.048629697,0.055524665,0.074602491,0.044093196,0.041681696,0.042780218,0.046356175,0.043768653,0.049283847,0.041860664,0.042568801,0.064750944,0.051892367,long_blink
0.044093196,0.041681696,0.042780218,0.046356175,0.043768653,0.049283847,0.041860664,0.042568801,0.064750944,0.051892367,0.063064368,0.038222218,0.064612654,0.056844657,0.052461972,long_blink
0.049283847,0.041860664,0.042568801,0.064750944,0.051892367,0.063064368,0.038222218,0.064612654,0.056844657,0.052461972,0.046265041,0.042948234,0.043496464,0.051829401,0.044228217,long_blink
0.063064368,0.038222218,0.064612654,0.056844657,0.052461972,0.046265041,0.042948234,0.043496464,0.051829401,0.044228217,0.026608132,0.031059952,0.050455447,0.042228708,0.041722924,long_blink
0.046265041,0.042948234,0.043496464,0.051829401,0.044228217,0.026608132,0.031059952,0.050455447,0.042228708,0.041722924,0.063260523,0.053073087,0.048916673,0.051831675,0.041552682,long_blink
0.026608132,0.031059952,0.050455447,0.042228708,0.041722924,0.063260523,0.053073087,0.048916673,0.051831675,0.041552682,0.045808487,0.045373653,0.051631763,0.055880612,0.045252017,long_blink
0.063260523,0.053073087,0.048916673,0.051831675,0.041552682,0.045808487,0.045373653,0.051631763,0.055880612,0.045252017,0.03272652,0.021627646,0.036632445,0.061335151,0.07878692,long_blink
0.045808487,0.045373653,0.051631763,0.055880612,0.045252017,0.03272652,0.021627646,0.036632445,0.061335151,0.07878692,0.087696019,0.081907712,0.065043791,0.06808706,0.091489364,long_blink
0.03272652,0.021627646,0.036632445,0.061335151,0.07878692,0.087696019,0.081907712,0.065043791,0.06808706,0.091489364,0.071603983,0.077382177,0.095630299,0.08531349,0.085018696,long_blink
0.087696019,0.081907712,0.065043791,0.06808706,0.091489364,0.071603983,0.077382177,0.095630299,0.08531349,0.085018696,0.083491067,0.078587101,0.106631632,0.061403445,0.083169791,long_blink
